,modType,Params,Hidden_Layers,GridSize,Error
406,KAN,4320,3,8.0,131028223.25323297
407,MLP,2131,3,,115738118.48044768
408,KAN,5184,3,9.0,134180656.60256784
409,MLP,4673,4,,123165424.64702003
410,KAN,2775,4,5.0,144019031.95430803
411,MLP,1263,3,,141277677.84845212
412,KAN,3150,3,7.0,116745163.79781263
413,MLP,2749,3,,149022770.36768454
414,KAN,2880,3,8.0,218056024.53785625
415,MLP,2085,3,,135642137.66784984
416,KAN,4185,3,9.0,113078054.0235356
417,MLP,1156,3,,140140252.66978708
418,KAN,5115,3,11.0,118985613.90344729
419,MLP,1577,2,,125391555.4184609
420,KAN,2502,2,6.0,116145356.5890218
421,MLP,1245,3,,127269255.82005692
422,KAN,4851,3,7.0,154407359.85607728
423,MLP,1302,2,,118585431.6136067
424,KAN,4587,2,11.0,116272401.98508118
425,MLP,1047,2,,131442794.19675961
426,KAN,4008,2,8.0,118030779.17775826
427,MLP,665,2,,122537936.67416364
428,KAN,3006,2,6.0,113938430.56936745
429,MLP,2847,4,,106707713.34822997
430,KAN,2268,4,4.0,285325803.53104174
431,MLP,5143,5,,130979926.36303535
432,KAN,3834,5,9.0,359637926.6129096
433,MLP,3305,4,,141423515.16305232
434,KAN,3423,4,7.0,117029155.22332509
435,MLP,494,1,,145954494.63505706
436,KAN,1458,1,9.0,116429338.87643357
437,MLP,671,3,,120151031.48941034
438,KAN,8100,3,15.0,117583526.50855361
439,MLP,2966,3,,116574972.4118799
440,KAN,3045,3,7.0,128330360.23615149
441,MLP,2789,3,,130616039.48265463
442,KAN,4608,3,8.0,113156683.66314226
443,MLP,964,4,,125254081.32326697
444,KAN,5256,4,8.0,131274056.86552717
445,MLP,2715,3,,131147823.83919176
446,MLP,2281,4,,133176906.87861222
447,KAN,7566,4,13.0,121812404.74541298
448,MLP,2153,3,,152432142.92263466
449,KAN,6975,3,15.0,146713395.6735977
450,MLP,561,2,,124934683.63069223
451,KAN,1998,2,6.0,117328406.3095573
452,MLP,1845,4,,175103588.79657957
453,KAN,6357,4,13.0,116489653.75436531
454,MLP,1516,4,,138775321.99818182
455,KAN,6357,4,13.0,111262879.8427594
456,MLP,1572,3,,120206976.38131401
457,KAN,3915,3,9.0,115682948.57251003
458,MLP,2813,4,,135030370.21304876
459,KAN,5697,4,9.0,145311650.67110917
460,MLP,3043,4,,119568049.22054689
461,KAN,2940,4,7.0,117669900.88783953
462,MLP,2137,3,,119831322.91313273
463,KAN,4464,3,8.0,185596892.94633433
464,MLP,1003,2,,120379369.44856338
465,KAN,8517,2,17.0,114529888.1128424
466,MLP,555,2,,114888028.89951423
467,KAN,3507,2,7.0,103788340.33659805
468,MLP,3737,4,,125878635.53806205
469,KAN,5733,4,13.0,127321123.05649388
470,MLP,2880,3,,135176601.9976333
471,KAN,3840,3,10.0,111590808.5598193
472,MLP,1553,4,,123502795.04963349
473,MLP,881,2,,129715286.54428385
474,KAN,6672,2,16.0,113775873.45955934
475,MLP,2183,3,,150971658.25025216
476,KAN,5184,3,9.0,113209154.61542208
477,MLP,4971,4,,133402954.42494191
478,KAN,3915,4,9.0,116590740.63689625
479,MLP,4487,4,,150414198.5456252
480,KAN,3339,4,7.0,125592471.18297274
481,MLP,2431,3,,145087475.3976759
482,KAN,2475,3,5.0,117834018.86564079
483,MLP,4382,4,,130697917.61261399
484,KAN,3000,4,8.0,132858259.36192107
485,MLP,629,2,,113326627.00110246
486,KAN,6012,2,12.0,142214329.5451937
487,MLP,1475,2,,133909554.60609001
488,KAN,4008,2,8.0,116252965.29401255
489,MLP,1305,3,,122998142.7205398
490,KAN,3072,3,8.0,117024265.74758783
491,MLP,2861,4,,138050150.8230899
492,MLP,2615,5,,129880061.70197868
493,KAN,8640,5,12.0,270850558.9442543
494,MLP,668,1,,118476884.39925006
495,KAN,1944,1,12.0,115740942.81227066
496,MLP,1505,3,,134943395.56962514
497,KAN,4836,3,13.0,127330923.29847844
498,MLP,3219,4,,114821007.17252009
499,MLP,1573,3,,126065789.66188425
500,KAN,3960,3,8.0,109652121.53482719
501,MLP,1415,2,,127914099.1819119
502,KAN,5010,2,10.0,116877809.3828454
503,MLP,1657,3,,123683277.14703985
504,KAN,3072,3,8.0,195886871.94200298
505,MLP,3392,3,,119622996.59694897
506,KAN,2475,3,5.0,448127354.68035895
507,MLP,2170,5,,148416729.76650068
508,KAN,4290,5,11.0,115676584.88259912
509,MLP,5587,5,,140474750.8132811
510,KAN,6102,5,9.0,114250439.55651087
511,MLP,1943,2,,132713113.83149005
512,KAN,3330,2,10.0,117489261.75717184
513,MLP,3616,5,,128368315.47935665
514,KAN,3906,5,7.0,120090349.97437024
515,MLP,1339,3,,125484972.50322925
516,KAN,4860,3,9.0,168837296.74609166
517,MLP,1381,3,,141153046.08454907
518,KAN,5184,3,9.0,117498230.06291145
